,new.fname,mean,median,gt.10,gt.20
246,z0196741_Mnov_MS51_n0028387,133.4103261,69.5,320,284
23,z0045342_Mnov_MS51_n0028474,99.625,75.5,336,312
94,z0107101_Mnov_MS51_n0028524,92.36141304,77.5,350,323
232,z0196721_Mnov_MS51_n0028378,112.2445652,87,347,321
280,z0196795_Mnov_MS51_n0028603,176.0923913,88,333,302
4,z0029829_Mnov_MS51_n0028454,153.0516304,88.5,332,305
124,z0187906_Mnov_MS51_n0028537,107.6195652,89,338,317
169,z0195697_Mnov_MS51_n0028314,196.236413,89,335,295
327,z0197659_Mnov_MS51_n0028446,136.1603261,89.5,329,294
269,z0196770_Mnov_MS51_n0028404,146.6847826,93.5,339,316
282,z0196804_Mnov_MS51_n0028547,138.1766304,93.5,331,297
109,z0175937_Mnov_MS51_n0028531,95.58967391,94,356,339
332,z0197671_Mnov_MS51_n0028448,175.7581522,103,325,293
238,z0196728_Mnov_MS51_n0028460,144.0869565,108,357,342
20,z0045332_Mnov_MS51_n0028471,130.0163043,111,353,332
19,z0045331_Mnov_MS51_n0028470,143.8179348,113.5,343,323
188,z0195729_Mnov_MS51_n0028329,199.7038043,116.5,347,328
102,z0173485_Mnov_MS51_n0028528,140.5706522,121,356,344
72,z0056386_Mnov_MS51_n0028507,168.7038043,123,336,326
194,z0195739_Mnov_MS51_n0028335,191.2581522,123,354,345
71,z0056384_Mnov_MS51_n0028506,133.6168478,127,358,345
98,z0108508_Mnov_MS51_n0028610,170.9673913,132.5,343,331
25,z0045350_Mnov_MS51_n0028556,131.0271739,133,359,353
248,z0196743_Mnov_MS51_n0028389,195.6983696,133,353,334
76,z0056393_Mnov_MS51_n0028511,195.2065217,134.5,348,328
15,z0040345_Mnov_MS51_n0028554,163.9347826,135,355,340
261,z0196759_Mnov_MS51_n0028398,180.0597826,135.5,352,334
58,z0053843_Mnov_MS51_n0028494,176.7853261,137.5,350,336
329,z0197662_Mnov_MS51_n0028551,235.9538043,138,332,310
41,z0051891_Mnov_MS51_n0028483,151.3125,141,354,346
86,z0066792_Mnov_MS51_n0028560,163.6576087,145,359,347
74,z0056391_Mnov_MS51_n0028509,160.5326087,147,360,351
256,z0196755_Mnov_MS51_n0028395,207.8532609,147.5,349,332
243,z0196736_Mnov_MS51_n0028563,185.6440217,150,358,343
47,z0051947_Mnov_MS51_n0028486,164.4103261,150.5,359,349
255,z0196753_Mnov_MS51_n0028600,184.5271739,152.5,350,342
24,z0045350_Mnov_MS51_n0028475,157.0652174,153.5,358,355
30,z0051185_Mnov_MS51_n0028478,183.5597826,154.5,354,337
121,z0187860_Mnov_MS51_n0028562,165.3288043,155.5,361,352
244,z0196737_Mnov_MS51_n0028385,267.7608696,157.5,345,332
44,z0051899_Mnov_MS51_n0028575,237.9646739,158,348,332
239,z0196730_Mnov_MS51_n0028540,200.9782609,158,347,331
279,z0196794_Mnov_MS51_n0028546,179.5543478,158.5,351,339
315,z0196863_Mnov_MS51_n0028437,185.4130435,158.5,358,346
260,z0196758_Mnov_MS51_n0028544,179.1875,159,356,349
270,z0196772_Mnov_MS51_n0028405,188.8967391,161.5,356,348
42,z0051893_Mnov_MS51_n0028484,172.388587,162,356,346
93,z0107080_Mnov_MS51_n0028582,194.0054348,162,353,341
14,z0040334_Mnov_MS51_n0028553,199.138587,163,355,341
264,z0196762_Mnov_MS51_n0028400,197.236413,163,352,337
267,z0196767_Mnov_MS51_n0028402,207.4048913,167,356,341
170,z0195700_Mnov_MS51_n0028597,212.0353261,167.5,353,337
290,z0196826_Mnov_MS51_n0028416,230.9891304,169,357,347
