LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin
z0044064,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,308,281
z0053090,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,308,289
z0029846,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,307,281
z0043491,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,307,284
z0044017,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,307,285
z0053024,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,307,282
z0056079,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,307,294
z0029865,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,306,281
z0041494,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,305,286
z0047562,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,305,279
z0196738,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,305,270
z0196804,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,305,276
z0196809,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,305,277
z0045342,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,304,283
z0051939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,304,288
z0195667,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,304,282
z0043475,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,303,268
z0055970,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,303,274
z0196739,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,303,267
z0025439,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,302,288
z0067213,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,302,293
z0195726,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,302,269
z0040985,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,301,274
z0196792,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,301,282
z0029829,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,300,281
z0040403,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,300,277
z0197671,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,300,274
z0133302,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,299,267
z0196812,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,299,272
z0196845,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,299,275
z0197659,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,299,272
z0187868,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,298,268
z0041051,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,297,235
z0043915,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,297,217
z0055916,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,297,269
z0196892,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,297,264
z0195732,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,296,271
z0040363,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,295,258
z0043839,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,295,271
z0053758,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,295,268
z0012201,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,294,282
z0037624,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,294,259
z0195650,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,294,279
z0196715,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,294,248
z0196733,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,294,271
z0196724,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,292,259
z0196741,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,292,268
z0062886,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,291,276
z0055986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,290,258
z0195740,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,290,230
z0196832,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,290,248
z0196841,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,290,258
z0196842,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,290,261
z0040465,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,289,258
z0053020,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,289,255
z0043877,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,288,217
z0043891,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,287,255
z0056056,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,287,240
z0016578,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,286,259
z0032258,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,286,270
z0051431,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,286,249
z0055963,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,286,256
z0197668,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,285,260
z0037609,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,284,243
z0196843,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,284,236
z0044047,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,283,242
z0045401,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,283,240
z0195687,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,282,254
z0197663,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,282,274
z0195677,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,281,258
z0196895,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,281,263
z0017317,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,280,262
z0196723,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,280,237
z0196834,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,280,236
z0196844,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,279,247
z0196850,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,278,248
