"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"381","z0043666_S381_L001_R1.fastq.gz",7,"E",8,"z0043666",381,"",358,224,0,0,0,0.625698324022346
"382","z0043674_S382_L001_R1.fastq.gz",7,"F",8,"z0043674",382,"",22278,11461,20,254,189,0.514453721159889
"383","z0043716_S383_L001_R1.fastq.gz",7,"G",8,"z0043716",383,"",133,57,0,0,0,0.428571428571429
"384","z0043724_S384_L001_R1.fastq.gz",7,"H",8,"z0043724",384,"",101,58,0,0,0,0.574257425742574
"385","z0043891_S385_L001_R1.fastq.gz",7,"A",9,"z0043891",385,"",10956,7958,13,208,138,0.72635998539613
"386","z0043904_S386_L001_R1.fastq.gz",7,"B",9,"z0043904",386,"",3086,746,1,4,1,0.241736876215165
"387","z0043979_S387_L001_R1.fastq.gz",7,"C",9,"z0043979",387,"",778,317,0,0,0,0.40745501285347
"388","z0055908_S388_L001_R1.fastq.gz",7,"D",9,"z0055908",388,"",164,54,0,0,0,0.329268292682927
"389","z0055912_S389_L001_R1.fastq.gz",7,"E",9,"z0055912",389,"",43483,39304,72.5,339,311,0.903893475611158
"390","z0055916_S390_L001_R1.fastq.gz",7,"F",9,"z0055916",390,"",32441,29087,53.5,319,286,0.896612311581024
"391","z0055931_S391_L001_R1.fastq.gz",7,"G",9,"z0055931",391,"",74275,67783,148,347,331,0.912595085829687
"392","z0055944_S392_L001_R1.fastq.gz",7,"H",9,"z0055944",392,"",124664,115594,236,349,339,0.927244433036001
"393","z0055971_S393_L001_R1.fastq.gz",7,"A",10,"z0055971",393,"",46375,40070,97,350,328,0.864043126684636
"394","z0055977_S394_L001_R1.fastq.gz",7,"B",10,"z0055977",394,"",28590,25126,45.5,312,264,0.878838754809374
"395","z0055998_S395_L001_R1.fastq.gz",7,"C",10,"z0055998",395,"",84121,79431,169.5,351,335,0.944246977568027
"396","z0055999_S396_L001_R1.fastq.gz",7,"D",10,"z0055999",396,"",67786,63320,158.5,354,344,0.934116189183607
"397","z0075696_S397_L001_R1.fastq.gz",7,"E",10,"z0075696",397,"",118874,112359,184.5,343,331,0.945194071033195
"398","z0196686_S398_L001_R1.fastq.gz",7,"F",10,"z0196686",398,"",158782,134877,333.5,358,356,0.84944767039085
"399","z0196687_S399_L001_R1.fastq.gz",7,"G",10,"z0196687",399,"",186848,156205,389,358,356,0.836000385339955
"400","z0196689_S400_L001_R1.fastq.gz",7,"H",10,"z0196689",400,"",179060,158944,379.5,357,355,0.887657768345806
"401","z0196690_S401_L001_R1.fastq.gz",7,"A",11,"z0196690",401,"",34728,25188,59,340,313,0.725293711126469
"402","z0196691_S402_L001_R1.fastq.gz",7,"B",11,"z0196691",402,"",24045,21558,53,341,311,0.896568933250156
"403","z0196692_S403_L001_R1.fastq.gz",7,"C",11,"z0196692",403,"",96522,88779,186.5,350,337,0.919779946540685
"404","z0196693_S404_L001_R1.fastq.gz",7,"D",11,"z0196693",404,"",79892,73660,168.5,353,344,0.921994692835328
"405","z0196694_S405_L001_R1.fastq.gz",7,"E",11,"z0196694",405,"",177422,158843,364,356,353,0.895283561226905
"406","z0012701_S406_L001_R1.fastq.gz",7,"F",11,"z0012701",406,"",101551,98838,123.5,332,311,0.97328435958287
"407","z0025405_S407_L001_R1.fastq.gz",7,"G",11,"z0025405",407,"",2052,387,0,1,1,0.18859649122807
"408","z0045776_S408_L001_R1.fastq.gz",7,"H",11,"z0045776",408,"",142153,130642,273.5,356,349,0.919023868648569
"409","z0046925_S409_L001_R1.fastq.gz",7,"A",12,"z0046925",409,"",7465,227,0,0,0,0.0304085733422639
"410","z0053078_S410_L001_R1.fastq.gz",7,"B",12,"z0053078",410,"",47422,34079,65,333,295,0.718632702121378
"411","z0053082_S411_L001_R1.fastq.gz",7,"C",12,"z0053082",411,"",6674,428,1,1,1,0.0641294575966437
"412","z0053090_S412_L001_R1.fastq.gz",7,"D",12,"z0053090",412,"",13110,7105,12,208,127,0.541952707856598
"413","z0053111_S413_L001_R1.fastq.gz",7,"E",12,"z0053111",413,"",32620,21266,37,315,255,0.651931330472103
"414","z0061527_S414_L001_R1.fastq.gz",7,"F",12,"z0061527",414,"",3248,74,0,0,0,0.0227832512315271
"415","z0113628_S415_L001_R1.fastq.gz",7,"G",12,"z0113628",415,"",5605,236,0,1,0,0.0421052631578947
"416","z0146087_S416_L001_R1.fastq.gz",7,"H",12,"z0146087",416,"",283,131,0,0,0,0.462897526501767
