,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
308,z0108508_Mnov_MS51_n0028584_R1.fastq.gz,8,D,3,z0108508,28584,496744,470262,901.5,359,358,D3,0.947
122,z0196759_Mnov_MS51_n0028398_R1.fastq.gz,2,B,4,z0196759,28398,69993,66262,135.5,352,334,B4,0.947
211,z0053754_Mnov_MS51_n0028487_R1.fastq.gz,3,C,3,z0053754,28487,263939,249874,614,359,356,C3,0.947
277,z0040334_Mnov_MS51_n0028553_R1.fastq.gz,3,E,11,z0040334,28553,77385,73283,163,355,341,E11,0.947
127,z0196768_Mnov_MS51_n0028403_R1.fastq.gz,2,G,4,z0196768,28403,91780,86936,182,355,344,G4,0.947
51,z0195722_Mnov_MS51_n0028327_R1.fastq.gz,1,C,7,z0195722,28327,128970,122164,284,357,351,C7,0.947
125,z0196765_Mnov_MS51_n0028401_R1.fastq.gz,2,E,4,z0196765,28401,95937,90918,192.5,357,344,E4,0.948
118,z0196750_Mnov_MS51_n0028394_R1.fastq.gz,2,F,3,z0196750,28394,97977,92876,191,351,335,F3,0.948
47,z0195714_Mnov_MS51_n0028323_R1.fastq.gz,1,G,6,z0195714,28323,349308,331123,725.5,358,356,G6,0.948
214,z0053758_Mnov_MS51_n0028490_R1.fastq.gz,3,F,3,z0053758,28490,36079,34212,47.5,304,261,F3,0.948
112,z0196742_Mnov_MS51_n0028388_R1.fastq.gz,2,H,2,z0196742,28388,247784,235251,512.5,361,357,H2,0.949
264,z0196730_Mnov_MS51_n0028540_R1.fastq.gz,3,H,9,z0196730,28540,77891,73960,158,347,331,H9,0.950
291,z0045329_Mnov_MS51_n0028567_R1.fastq.gz,8,C,1,z0045329,28567,776116,737140,1753,363,360,C1,0.950
252,z0173485_Mnov_MS51_n0028528_R1.fastq.gz,3,D,8,z0173485,28528,54456,51730,121,356,344,D8,0.950
58,z0195738_Mnov_MS51_n0028334_R1.fastq.gz,1,B,8,z0195738,28334,177683,168870,372,359,357,B8,0.950
271,z0196804_Mnov_MS51_n0028547_R1.fastq.gz,3,G,10,z0196804,28547,53494,50849,93.5,331,297,G10,0.951
313,z0175928_Mnov_MS51_n0028589_R1.fastq.gz,8,A,4,z0175928,28589,167701,159502,433,359,355,A4,0.951
101,z0196718_Mnov_MS51_n0028377_R1.fastq.gz,2,E,1,z0196718,28377,146675,139552,349.5,357,354,E1,0.951
230,z0056384_Mnov_MS51_n0028506_R1.fastq.gz,3,F,5,z0056384,28506,51672,49171,127,358,345,F5,0.952
45,z0195712_Mnov_MS51_n0028321_R1.fastq.gz,1,E,6,z0195712,28321,209484,199523,439,359,357,E6,0.952
215,z0053759_Mnov_MS51_n0028491_R1.fastq.gz,3,G,3,z0053759,28491,358818,341821,810.5,361,357,G3,0.953
